id_str,text,created_at,"('user', 'id_str')"
737291124499480576,RT @david_bychkov: easyJet: viksun Hi! Sorry to hear it. You can get a Voucher valid for 6 months if you're not flying anymore. Pls call us…,Mon May 30 14:34:36 +0000 2016,733065899570278401
737291128337256448,"RT @NTN24ve: Venezuela debe a Lufthansa más de 100 millones de dólares, informó portavoz de la aerolínea https://t.co/DZ9nSWp9W9 https://t.…",Mon May 30 14:34:37 +0000 2016,144039340
737291150306971648,@anfieldeddy69 You can use the Ryanair mobile app and have the boarding pass on that TT,Mon May 30 14:34:43 +0000 2016,1542862735
737291159043735552,"Lufthansa suspenderá vuelos a Venezuela de manera indefinida
 https://t.co/KzZRBFm6Fr via @CNNEE",Mon May 30 14:34:45 +0000 2016,4604223792
737291175174930434,I earn @AmericanAir #AAdvantage miles to celebrate milestones like __________. #MilesForMilestones #Promotion https://t.co/WLzo1NTlV7,Mon May 30 14:34:49 +0000 2016,273235179
737291185308471297,@Ryanair I've tried this and calling but every time it says the volume of people is too high or 'our agents are not available at the moment',Mon May 30 14:34:51 +0000 2016,1369191504
737291197853630468,"Lufthansa suspenderá vuelos a Venezuela de manera indefinida
 https://t.co/kBMkzoNFI4 via @CNNEE",Mon May 30 14:34:54 +0000 2016,215464535
737291200114237440,"RT @AmericanAir: Enter for a chance to win 350,000 #AAdvantage miles. #MilesForMilestones

Enter now: https://t.co/elcS5zUFBJ https://t.co/…",Mon May 30 14:34:54 +0000 2016,726111788761116672
737291238718722052,@klm hoe kan je als bedrijf bestaan met zo'n ongelofelijke slechte website. 20 minuten bezig en Dan een wit scherm met niks. Slecht!!,Mon May 30 14:35:04 +0000 2016,49770643
737291239851200512,@Ryanair is there another way it can be done? thanks,Mon May 30 14:35:04 +0000 2016,1369191504
737291240698466304,"RT @adamjohnsonNYC: CNBC's @KatyBarnato says a coup ""is viewed as increasingly likely""; doesn't say by whom. https://t.co/CMbE5du6eS https:…",Mon May 30 14:35:04 +0000 2016,2726026615
737291249183510528,RT @Pastrouil: #AirFrance : Les pilotes du SNPL votent le principe d'une grève longue - https://t.co/lwizuhSrMG #Société https://t.co/joMeM…,Mon May 30 14:35:06 +0000 2016,957864500
737291267286179840,"@Ryanair We have other queries, and a 30 second conversation with a person would resolve them.",Mon May 30 14:35:10 +0000 2016,15432442
737291267323920384,"If you're traveling from @WMI_Airport and received a msg from @Ryanair regarding need 2 be 2-3hrs b4 your flight, u don't have to hurry.",Mon May 30 14:35:10 +0000 2016,323080334
